"iso_code3","year","grade","level","survey","category","Language","Location","Sex","Wealth","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no"
"AZE",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.3894,0.0965,0.0073,0.0579,0.0334,0.0092,91,20,1
"BGR",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9287,0.7846,0.4932,0.0105,0.015,0.0161,3738,3273,2170
"BGR",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.9019,0.6877,0.3171,0.0788,0.1053,0.0947,40,32,12
"BHR",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.718,0.4761,0.2109,0.0096,0.0124,0.0116,3409,2212,924
"BRA",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.6277,0.3881,0.1371,0.0174,0.0177,0.0112,3019,1957,752
"BRA",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.4547,0.1992,0.055,0.1745,0.1017,0.0454,59,23,4
"CYP",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9169,0.6886,0.3178,0.0067,0.0153,0.0141,4150,3167,1485
"CYP",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.8889,0.7333,0.3778,,,,8,7,5
"CZE",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9617,0.8182,0.482,0.0046,0.0102,0.0132,5659,4837,2801
"CZE",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.9543,0.8072,0.4464,0.0154,0.0322,0.0346,663,580,330
"DEU",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9349,0.7405,0.3867,0.0063,0.0142,0.0135,3272,2663,1409
"DEU",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.9363,0.7738,0.3858,0.0169,0.0316,0.053,223,175,99
"DNK",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9596,0.8129,0.4778,0.0064,0.0107,0.0145,4135,3529,2142
"DNK",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.9667,0.8473,0.5049,0.0179,0.0381,0.0614,159,137,82
"EGY",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.4437,0.1917,0.0491,0.0212,0.0153,0.0078,3120,1389,370
"EGY",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.3664,0.1772,0.0439,0.092,0.0694,0.027,144,74,18
"ESP",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.952,0.7564,0.3519,0.0058,0.0121,0.0128,8129,6610,3237
"ESP",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.8241,0.5463,0.2037,0.1396,0.2177,0.2418,11,9,5
"FIN",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9613,0.8424,0.5426,0.006,0.0118,0.0146,5672,4963,3230
"FIN",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.9785,0.8538,0.488,0.0085,0.0246,0.0333,1023,892,527
"FRA",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9398,0.7322,0.3239,0.0067,0.0139,0.0156,4429,3502,1580
"FRA",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.9423,0.7096,0.304,0.0191,0.0393,0.0336,412,312,130
"GEO",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.8792,0.62,0.2589,0.0099,0.0152,0.0115,4423,3201,1368
"GEO",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.8378,0.5868,0.225,0.0456,0.0645,0.0477,120,89,36
"HKG",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9828,0.9241,0.6829,0.0042,0.0101,0.0185,3723,3520,2639
"HRV",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9822,0.8832,0.5659,0.0044,0.0099,0.0157,3693,3347,2182
"HRV",2021,4,"Primary","PIRLS","Location",,"Rural",,,1,0.8603,0.3941,0,0.118,0.0882,21,17,7
"HUN",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9409,0.793,0.4918,0.0104,0.0161,0.0172,4580,3990,2572
"HUN",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.9192,0.6619,0.3076,0.0665,0.1272,0.1153,37,23,9
"IRL",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9764,0.9045,0.6576,0.0042,0.0084,0.0159,4080,3786,2823
"IRL",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.9859,0.9306,0.7365,0.0076,0.0149,0.0323,445,416,333
"IRN",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.6055,0.2988,0.0688,0.0202,0.0161,0.0067,3587,1805,441
"IRN",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.3079,0.125,0.0231,0.0745,0.0405,0.0167,72,25,3
"ISR",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.8867,0.6865,0.3648,0.011,0.0149,0.0136,3699,2836,1519
"ISR",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.8055,0.5463,0.2575,0.0716,0.0853,0.0684,157,100,47
"ITA",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9727,0.8315,0.4515,0.0038,0.0088,0.015,4227,3654,2018
"ITA",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.9724,0.8165,0.4236,0.0079,0.0322,0.0414,982,835,443
"JOR",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.4638,0.216,0.0552,0.0204,0.0169,0.0084,2321,1047,255
"JOR",2021,4,"Primary","PIRLS","Location",,"Rural",,,0.5228,0.1958,0.023,0.1493,0.0791,0.0127,175,67,8
"KAZ",2021,4,"Primary","PIRLS","Location",,"Urban",,,0.9066,0.6701,0.2825,0.0083,0.0155,0.0148,5731,4271,1867
