iso_code3,country,year,country_year,survey,category,location,sex,wealth,region,ethnicity,religion,comp_prim_v2,comp_lowsec_v2,comp_upsec_v2,comp_prim_1524,comp_lowsec_1524,comp_upsec_2029,eduyears_2024,edu2_2024,edu4_2024,eduout_prim,eduout_lowsec,eduout_upsec,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,year_uis,cy,_merge
ALB,Albania,2017,Albania_2017,DHS,Region,,,,Korce,,,93.014488,90.780685,75.436172,98.75444,86.332436,70.326141,14.342871,.83150136,1.1164632,7.5580568,.36219108,7.928051,185,203,175,623,623,623,300,300,300,258,238,200,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 3,Shkoder,,,97.303528,90.405983,98.42942,97.2873,92.781013,85.864243,16.733513,0,0,7.6181793,0,5.0849013,41,58,50,154,154,136,71,71,71,34,50,49,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 1,Shkoder,,,95.222672,91.213348,85.306564,97.575302,88.677841,67.995186,14.560047,1.2820514,1.2820514,11.732756,3.3750708,20.135174,38,45,39,136,136,120,65,65,65,63,58,40,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Region,,,,Diber,,,90.070526,87.609276,64.634071,93.079529,78.95533,54.776718,12.406343,8.1672802,8.1672802,11.043329,5.0311427,26.703306,249,216,177,661,661,616,300,300,300,332,365,236,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 4,Diber,,,,,,97.104492,82.962212,73.758987,,,,,0,,24,17,15,57,57,46,23,23,23,22,31,23,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 2,Durres,,,,77.602463,67.152405,88.869179,75.567184,52.003265,12.903125,8.1165552,10.306148,2.6971972,2.1558816,,23,40,35,102,102,90,50,50,50,37,41,28,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 4,Durres,,,,,,98.066193,93.316231,89.585861,16.747143,0,0,,,,17,16,17,58,58,76,40,40,40,23,23,7,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 3,Diber,,,,,,97.041992,87.889633,73.230247,,,,,,,15,13,8,46,46,47,19,19,19,24,23,22,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 5,Shkoder,,,,,,100,97.143814,86.8405,,,,,,,8,11,13,36,36,41,22,22,22,8,8,6,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 4,Lezhe,,,,,,100,100,85.097191,,,,,,,15,15,9,46,46,41,18,18,18,26,20,19,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 3,Korce,,,,,,100,91.382881,69.661087,,,,5.2698698,,,15,21,12,55,55,65,25,25,25,32,21,16,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Region,,,,Durres,,,91.497932,91.366631,80.640083,96.172424,88.957878,73.230904,15.131058,1.6170892,2.0716729,7.2500138,2.6377966,9.1372519,190,216,190,635,635,631,316,316,316,286,265,171,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth,,Male,Quintile 1,,,,83.778221,90.688904,61.375099,95.127769,82.391045,52.31068,12.260549,3.1963251,3.3997469,10.332222,5.9514184,23.393068,385,354,333,1072,1072,1028,528,528,528,483,548,326,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 3,Durres,,,87.049393,,,97.797951,91.861282,71.304962,14.580457,0,0,14.002514,3.4808233,6.9326558,32,29,29,98,98,84,47,47,47,45,37,30,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Location & Sex & Wealth,Rural,Female,Quintile 2,,,,90.053902,96.222946,73.261459,98.486763,91.356804,58.237682,14.282676,.56995797,.56995797,6.8317065,.80704355,13.409164,175,186,161,559,559,530,265,265,265,276,255,188,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 1,Vlore,,,,,,,,,,,,,,,10,5,6,17,17,15,9,9,9,20,12,4,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Region,,Female,,Fier,,,85.150787,91.39212,63.307636,94.981133,87.416023,56.337261,13.354382,5.1593771,5.1593771,6.6380372,5.8777146,14.159264,75,80,59,238,238,230,101,101,101,163,116,100,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 1,Tirane,,,,,,,,,,,,,,,11,9,9,28,28,26,13,13,13,15,16,8,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 5,Kukes,,,,,,,,,,,,,,,1,3,6,13,13,13,7,7,7,5,3,6,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 5,Lezhe,,,,,,99.481369,96.549316,87.102165,16.385513,0,0,24.785,,,17,19,23,58,58,59,32,32,32,30,23,16,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 3,Vlore,,,,,,100,90.848633,72.133545,,,,,,,19,22,10,52,52,48,22,22,22,23,28,13,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Location & Wealth,Rural,,Quintile 3,,,,96.318695,97.55175,86.892197,98.946777,93.935486,74.176819,15.413854,.82868367,1.2490368,12.163763,5.3947744,5.1089878,153,169,143,531,531,503,253,253,253,216,200,172,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 3,Durres,,,90.924438,96.263191,83.649139,97.920189,91.228905,68.740501,14.901944,0,.57598186,9.3813534,1.9163738,9.5929012,61,69,51,191,191,165,86,86,86,80,74,52,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Location & Sex & Wealth,Rural,Male,Quintile 5,,,,95.316437,,,96.856316,95.545776,92.833771,16.228209,4.3338819,4.3338819,17.503551,4.9005494,,32,20,23,70,70,75,36,36,36,46,43,21,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Region,,Female,,Diber,,,90.489891,87.056313,63.614792,92.242126,77.88485,48.261539,11.909356,10.611112,10.611112,11.890308,2.4581666,26.282442,104,108,83,332,332,307,143,143,143,170,159,132,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 4,Diber,,,,,,94.171547,79.963722,,,,,,,,14,8,9,30,30,23,11,11,11,12,16,13,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 2,Tirane,,,,,,95.797165,87.897835,57.403736,,,,6.0854039,,,18,10,16,45,45,55,28,28,28,30,28,9,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Location & Sex & Wealth,Rural,Female,Quintile 3,,,,94.983688,97.364845,82.443176,98.968102,91.972664,67.967216,14.77207,0,.62990272,10.173983,2.9128854,5.5545101,79,90,68,273,273,243,132,132,132,110,101,86,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Region,,Female,,Korce,,,90.800385,90.052238,77.349823,99.101219,88.061523,67.363235,14.629488,1.0677363,1.0677363,6.8580246,0,11.217008,88,111,68,287,287,275,126,126,126,141,115,94,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 3,Tirane,,,,,,98.081223,89.12738,69.979744,15.498748,0,0,11.386822,10.320231,,26,26,28,81,81,72,44,44,44,32,34,20,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Region,,Male,,Diber,,,89.784225,88.168297,65.464645,93.901894,80.006599,60.995388,12.833501,6.0668273,6.0668273,10.156892,7.0011435,27.23126,145,108,94,329,329,309,157,157,157,162,206,104,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 1,Diber,,,87.484138,81.422165,50.701321,90.511024,72.417923,35.797386,10.943327,11.307263,11.307263,17.345978,1.2721604,35.199905,53,62,51,192,192,178,88,88,88,90,82,73,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 4,Gjirokaster,,,100,91.684601,,96.335236,91.812828,92.847115,,,,10.945107,0,,30,32,20,72,72,80,29,29,29,53,49,24,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 2,Tirane,,,,,,95.567978,86.474648,48.343174,,,,13.217256,,,15,18,13,47,47,40,19,19,19,34,22,17,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 3,Shkoder,,,,89.591698,,96.976036,93.833908,85.051651,16.278591,0,0,,,,24,31,25,78,78,71,35,35,35,16,23,24,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex,,Female,,,,,92.560318,93.640289,82.156075,97.585197,90.89064,71.759331,15.482132,1.6877307,1.8669949,8.2484198,3.3604574,11.98229,1057,1182,960,3490,3490,3240,1626,1626,1626,1638,1452,1145,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 3,Gjirokaster,,,,,,98.615845,97.231689,94.1343,,,,,,,9,14,11,40,40,34,17,17,17,21,18,14,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Female,Quintile 4,Vlore,,,,,,99.118126,93.657906,81.786224,17.580599,0,0,10.663446,,,16,21,27,66,66,65,36,36,36,30,19,18,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 4,Fier,,,,,,97.230301,93.379753,82.499802,,,,14.256536,,5.288394,21,29,17,78,78,69,27,27,27,51,23,31,,Albania_2017,matched (3)
